id ;luna;nombre                               ;disponibilidad;tags
329;2   ;Under the Cheese Rocks               ;base          ;[luncheon,cappy,captures,story_moon]
330;3   ;Big Pot on the Volcano: Dive In!     ;base          ;[luncheon,captures,multi_moon]
331;4   ;Climb Up the Cascading Magma         ;mid_story     ;[luncheon,captures,story_moon]
332;5   ;Cookatiel Showdown!                  ;mid_story     ;[luncheon,captures,multi_moon]
333;6   ;Piled on the Salt                    ;base          ;[luncheon,mario]
334;7   ;Lurking in the Pillar's Shadow       ;base          ;[luncheon,mario]
335;8   ;Atop the Jutting Crag                ;base          ;[luncheon,captures,lava_bubble]
336;9   ;Is This an Ingredient Too?!          ;base          ;[luncheon,wooden_crates]
337;10  ;Atop a Column in a Row               ;base          ;[luncheon,ground_pound]
338;11  ;Surrounded by Tall Mountains         ;base          ;[luncheon,ground_pound]
339;12  ;Island of Salt Floating in the Lava  ;base          ;[luncheon,ground_pound]
340;13  ;Overlooking a Bunch of Ingredients   ;base          ;[luncheon,ground_pound]
341;14  ;Light the Lantern on the Small Island;base          ;[luncheon,captures,lantern,lava_bubble]
342;15  ;Golden Turnip Recipe 1               ;base          ;[luncheon,seeds]
343;16  ;Golden Turnip Recipe 2               ;base          ;[luncheon,seeds]
344;17  ;Golden Turnip Recipe 3               ;base          ;[luncheon,captures,hammer_bro,seeds]
345;18  ;Luncheon Kingdom Timer Challenge 1   ;base          ;[luncheon,timer_challenge]
346;19  ;Luncheon Kingdom Timer Challenge 2   ;mid_story     ;[luncheon,key,timer_challenge]
347;20  ;Luncheon Kingdom Timer Challenge 3   ;world_peace   ;[luncheon,key,timer_challenge]
348;21  ;Beneath the Rolling Vegetables       ;base          ;[luncheon,8bit]
349;22  ;All the Cracks Are Fixed             ;base          ;[luncheon,ground_pound]
350;23  ;Taking Notes: Swimming in Magma      ;base          ;[luncheon,captures,lava_bubble,music_note]
351;24  ;Love Above the Lava                  ;base          ;[luncheon,captures,goomba]
352;25  ;Shopping in Mount Volbono            ;base          ;[luncheon,shop]
353;26  ;Luncheon Kingdom Slots               ;base          ;[luncheon,cappy,minigame]
354;27  ;A Strong Simmer                      ;base          ;[luncheon,captures,lava_bubble,outfit_door]
355;28  ;An Extreme Simmer                    ;base          ;[luncheon,captures,lava_bubble,outfit_door]
356;29  ;Alcove Behind the Pillars of Magma   ;mid_story     ;[luncheon,mario]
357;30  ;Treasure Beneath the Cheese Rocks    ;mid_story     ;[luncheon,captures,ground_pound,hammer_bro]
358;31  ;Light the Two Flames                 ;base          ;[luncheon,captures,lantern]
359;32  ;Light the Far-Off Lanterns           ;mid_story     ;[luncheon,fire_piranha_plant,lantern]
360;33  ;Bon Appétit - Captain Toad!          ;mid_story     ;[luncheon,captain_toad]
361;34  ;The Treasure Chest in the Veggies    ;base          ;[luncheon,treasure_chest]
362;35  ;Caught Hopping at the Volcano!       ;world_peace   ;[luncheon,rabbit]
363;36  ;Taking Notes: Big Pot Swim           ;world_peace   ;[luncheon,captures,lava_bubble,music_note]
364;37  ;Magma Swamp: Floating and Sinking    ;base          ;[luncheon,fire_piranha_plant,moon_shard,sub_area]
365;38  ;Corner of the Magma Swamp            ;base          ;[luncheon,fire_piranha_plant,sub_area]
366;39  ;Magma Narrow Path                    ;base          ;[luncheon,captures,lava_bubble,sub_area]
367;40  ;Crossing to the Magma                ;base          ;[luncheon,captures,lava_bubble,sub_area]
368;41  ;Fork Flickin' to the Summit          ;base          ;[luncheon,captures,sub_area]
369;42  ;Fork Flickin' Detour                 ;base          ;[luncheon,captures,sub_area]
370;43  ;Excavate 'n' Search the Cheese Rocks ;base          ;[luncheon,captures,hammer_bro,moon_shard,sub_area]
371;44  ;Climb the Cheese Rocks               ;base          ;[luncheon,captures,hammer_bro,sub_area]
372;45  ;Spinning Athletics End Goal          ;base          ;[luncheon,sub_area]
373;46  ;Taking Notes: Spinning Athletics     ;base          ;[luncheon,music_note,sub_area]
374;47  ;Secret Path to Mount Volbono!        ;mid_story     ;[luncheon,artistic,painting]
375;48  ;A Tourist in the Luncheon Kingdom!   ;world_peace   ;[luncheon,npc]
376;49  ;Found with Luncheon Kingdom Art      ;mid_story     ;[luncheon,artistic,ground_pound,hint_art,poochy]
377;50  ;Secret Path to Peach's Castle!       ;base          ;[luncheon,artistic,painting]
378;1   ;Battle with the Lord of Lightning!   ;base          ;[ruined,multi_moon]
379;2   ;In the Ancient Treasure Chest        ;base          ;[ruined,treasure_chest]
380;3   ;Roulette Tower: Climbed              ;world_peace   ;[ruined,hybrid_2d,sub_area]
381;4   ;Roulette Tower: Stopped              ;world_peace   ;[ruined,8bit,hybrid_2d,sub_area]
382;1   ;Infiltrate Bowser's Castle!          ;base          ;[bowser,story_moon]
383;2   ;Smart Bombing                        ;base          ;[bowser,captures,moon_shard,story_moon]
384;3   ;Big Broodal Battle                   ;base          ;[bowser,story_moon]
385;4   ;Showdown at Bowser's Castle          ;base          ;[bowser,captures,multi_moon]
386;5   ;Behind the Big Wall                  ;base          ;[bowser,captures,pokio]
387;6   ;Treasure Inside the Turret           ;base          ;[bowser,captures,pokio]
388;7   ;From the Side Above the Castle Gate  ;base          ;[bowser,mario]
389;8   ;Sunken Treasure in the Moat          ;base          ;[bowser,mario]
390;9   ;Past the Moving Wall                 ;world_peace   ;[bowser,captures,pokio]
391;10  ;Above the Poison Swamp               ;world_peace   ;[bowser,captures]
392;11  ;Knocking Down the Nice Frame         ;base          ;[bowser,cappy]
393;12  ;Caught on the Iron Fence             ;base          ;[bowser,cappy]
394;13  ;On the Giant Bowser Statue's Nose    ;base          ;[bowser,ground_pound]
395;14  ;Inside a Block in the Castle         ;base          ;[bowser,blocks]
396;15  ;Caught Hopping at Bowser's Castle!   ;world_peace   ;[bowser,rabbit]
397;16  ;Exterminate the Ogres!               ;base          ;[bowser,mario]
398;17  ;Bowser's Kingdom Timer Challenge 1   ;world_peace   ;[bowser,timer_challenge]
399;18  ;Taking Notes: Between Spinies        ;base          ;[bowser,music_note]
400;19  ;Stack Up Above the Wall              ;base          ;[bowser,captures,goomba]
401;20  ;Hidden Corridor Under the Floor      ;base          ;[bowser,mario]
402;21  ;Poking Your Nose in the Plaster Wall ;base          ;[bowser,captures,pokio_hole]
403;22  ;Poking the Turret Wall               ;base          ;[bowser,captures,pokio_hole]
404;23  ;Poking Your Nose by the Great Gate   ;base          ;[bowser,captures,pokio_hole]
405;24  ;Jizo All in a Row                    ;base          ;[bowser,captures,jizo]
406;25  ;Underground Jizo                     ;base          ;[bowser,captures,jizo]
407;26  ;Found Behind Bars!                   ;base          ;[bowser,captures,spark_pylon]
408;27  ;Fishing(?) in Bowser's Castle        ;world_peace   ;[bowser,captures,lakitu_fishing,poochy]
409;28  ;Good to See You - Captain Toad!      ;base          ;[bowser,captain_toad]
410;29  ;Shopping at Bowser's Castle          ;base          ;[bowser,shop]
411;30  ;Bowser's Castle Treasure Vault       ;world_peace   ;[bowser,treasure_chest]
412;31  ;Scene of Crossing the Poison Swamp   ;base          ;[bowser,8bit,outfit_door]
413;32  ;Taking Notes: In the Folding Screen  ;base          ;[bowser,8bit,music_note,outfit_door]
414;33  ;On Top of the Spinning Tower         ;world_peace   ;[bowser,captures,pokio,sub_area]
415;34  ;Down and Up the Spinning Tower       ;world_peace   ;[bowser,captures,key,pokio,sub_area]
416;35  ;Jizo's Big Adventure                 ;world_peace   ;[bowser,captures,jizo,sub_area]
417;36  ;Jizo and the Hidden Room             ;world_peace   ;[bowser,captures,jizo,sub_area]
418;37  ;Dashing Above the Clouds             ;base          ;[bowser,beanstalk,rocket_flower]
419;38  ;Dashing Through the Clouds           ;base          ;[bowser,beanstalk,rocket_flower]
420;1   ;Shining Above the Moon               ;base          ;[moon,mario]
421;2   ;Along the Cliff Face                 ;base          ;[moon,8bit]
422;3   ;The Tip of a White Spire             ;base          ;[moon,cappy]
423;4   ;Rolling Rock on the Moon             ;base          ;[moon,shiny_rocks]
424;5   ;Caught Hopping on the Moon!          ;base          ;[moon,rabbit]
425;6   ;Cliffside Treasure Chest             ;base          ;[moon,rocket_flower,treasure_chest]
426;7   ;Moon Kingdom Timer Challenge 1       ;base          ;[moon,timer_challenge]
427;8   ;Taking Notes: On the Moon's Surface  ;base          ;[moon,music_note]
428;9   ;Under the Bowser Statue              ;base          ;[moon,captures,cave]
429;10  ;In a Hole in the Magma               ;base          ;[moon,captures,cave,key]
430;11  ;Around the Barrier Wall              ;base          ;[moon,captures,cave]
431;12  ;On Top of the Cannon                 ;base          ;[moon,cave,ground_pound]
432;13  ;Fly to the Treasure Chest and Back   ;base          ;[moon,captures,cave,treasure_chest]
433;14  ;Up in the Rafters                    ;base          ;[moon,mario]
434;25  ;A Tourist in the Moon Kingdom!       ;base          ;[moon,npc]
